"","merged","filtered","denoisedF","nonchim"
"1A-D-S",30360,29367,26489,23831
"1A-En-S-2",18866,10579,10232,9221
"1A-Ex-S-2",31542,24670,23004,18935
"1B-En-S-2",44257,22105,21574,17724
"1B-Ex-S-2",29829,27856,26359,23827
"2A-En-S-2",46563,20542,20137,15700
"2A-Ex-S-2",24370,23656,22259,19697
"2B-D-S",28030,27758,25125,18793
"2B-En-S-2",48243,12370,12053,10387
"2B-Ex-S-2",27393,25570,24087,19126
"3A-D-S",25545,25233,21417,18777
"3A-Ex-S-2",27057,25175,23944,22065
"3B-En-S-2",40357,20313,19897,17076
"3B-Ex-S-2",44401,21370,20575,17796
"4A-Ex-S-2",18024,16660,15830,13711
"4B-En-S-2",29290,20663,20124,17825
"4B-Ex-S-2",22309,19168,18085,15512
"5A-Ex-S-2",34317,30606,29572,25786
"5B-Ex-S-2",30407,28181,27088,23235
"AAB23-1-D-W",20215,15880,13951,9799
"AAB25-3-D-W",21574,18741,17864,11956
"AAB26-4-D-W",41924,31974,30868,17947
